Шифра,Фирма,
KMB,Комерцијална банка Скопје,
KMB,Komercijalna banka Skopje,
KMB,Komercijalna banka Skopje*,
TPOD,Топлификација Скопје,
TPOD,Toplifikacija Skopje,
TPOD,Toplifikacija Odr`uvawe Skopje,
MPOL,Хотели Метропол Охрид,
MPOL,Hoteli Metropol Ohrid,
FERS,Фершпед Скопје,
FERS,Fer{ped Skopje,
TKPR,Тутунски комбинат Прилеп,
TKPR,Tutunski kombinat Prilep,
TTK,ТТК Банка АД Скопје,
TTK,TTK Banka AD Skopje,
TTK,TTK Banka Skopje,
TETE,Тетекс Тетово,
TETE,Teteks Tetovo,
SBT,Стопанска банка Битола,
SBT,Стопанска Банка Битола,
SBT,Stopanska banka Bitola,
SBT,Stopanska Banka Bitola,
SPAZ,Скопски Пазар Скопје,
SPAZ,Скопски пазар Скопје,
SPAZ,Skopski Pazar Skopje,
SPAZ,Skopski pazar Skopje,
RZUS,РЖ Услуги Скопје,
RZUS,R@ Uslugi Skopje,
RZIT,РЖ Интер-Трансшпед Скопје,
RZIT,R@ Inter-Trans{ped Skopje,
REPL,Реплек Скопје,
REPL,Replek Skopje,
MSTIL,Макстил Скопје,
MSTIL,Makstil Skopje,
MPT,Макпетрол Скопје,
MPT,Makpetrol Skopje,
МРРТ,Макпетрол-Тема АД Скопје
МРРТ,Makpetrol-Tema AD Skopje
MKSD,Макошпед Скопје,
MKSD,Mako{ped Skopje,
MAKS,Макотекс Скопје,
MAKS,Makoteks Skopje,
MTUR,Македонијатурист Скопје,
MTUR,Makedonijaturist Skopje,
INHO,Интернешнел Хотелс АД Скопје,
INHO,Interne{enal Hotels AD Skopje,
ZPKO,ЗК Пелагонија Битола,
ZPKO,ZK Pelagonija Bitola,
ZILU,Жито Лукс Скопје,
ZILU,Жито лукс Скопје,
ZILU,@ito Luks Skopje,
ZILU,@ito luks Skopje,
KOMU,ДС Смитх АД Скопје,
GRNT,Гранит Скопје,
GRNT,Гранит АД Скопје,
GRNT,Granit Skopje,
VITA,Витаминка Прилеп,
VITA,Vitaminka Prilep,
TKVS,ВВ Тиквеш АД Кавадарци,
TKVS,Vinarska vizba Tikve{ Skopje,
ALK,Алкалоид Скопје,
ALK,Alkaloid Skopje,
AMEH,Агромеханика Скопје,
AMEH,Agromehanika Skopje,
ADIN,Адинг Скопје,
ADIN,Ading Skopje,
APTK,Ангропромет-Тиквешанка Кавадарци,
APTK,Angropromet-Tikve{anka Kavadarci,
RZLE,АрцелорМиттал (ХРМ) АД Скопје - долгорочно суспендирано од котација,
RZLE,Арцелормиттал Скопје (ХРМ) Скопје,
RZLE,Arcelormittal Skopje (HRM) Skopje,
RZLE,Mittal Steel Skopje (HRM) Skopje,
AUMK,Аутомакедонија Скопје,
AUMK,Automakedonija Skopje,
BIM,БИМ Свети Николе,
BIM,BIM Sveti Nikole,
BLTU,Благој Туфанов Радовиш,
BLTU,Blagoj Tufanov Radovi{,
MZHE,Вабтек МЗТ Скопје,
VTKS,Ветекс Велес,
VTKS,Veteks Veles,
TIKV,ГД-ТИКВЕШ Кавадарци,
TIKV,ГД-Тиквеш Кавадарци,
TIKV,GD-Tikve{ Kavadarci,
GECK,Герас Цунев Конфекција Струмица,
GECK,Герас Цунев конфекција Струмица,
GECK,Geras Cunev konfekcija Strumica,
GECT,Герас Цунев Трговија Струмица,
GECT,Герас Цунев трговија Струмица,
GECT,Geras Cunev trgovija Strumica,
GRZD,Грозд Струмица,
GRZD,Grozd Strumica,
GTC,Градски Трговски Центар Скопје,
GTC,Gradski Trgovski Centar Skopje,
DEBA,Дебарски бањи Дебар,
DEBA,Debarski bawi Debar,
DIMI,Димко Митрев Велес,
DIMI,Dimko Mitrev Veles,
EVRO,Европа Скопје,
EVRO,Evropa Skopje,
ZAS,ЖАС Скопје,
ZAS,@AS Skopje,
ZKAR,Жито Караорман Кичево,
ZKAR,@ito Karaorman Ki~evo,
ZPOG,Жито Полог Тетово,
ZPOG,@ito Polog Tetovo,
INPR,Интерпромет Тетово,
INPR,Interpromet Tetovo,
KLST,Кланица со ладилник Струмица,
KLST,Klanica so ladilnik Strumica,
BGOR,Кристал 1923 АД Велес,
RZLV,Либерти АД Скопје,
LOTO,Лотарија на Македонија Скопје,
LOTO,Lotarija na Makedonija Skopje,
KJUBI,Македонија осигурување АД Скопје - Виена Иншуренс Груп,
KJUBI,Осигурување Македонија АД Скопје - Виена Иншуренс Груп,
KJUBI,КЈУБИ Македонија Скопје
KJUBI,KJUBI Makedonija Skopje,
TEL,Македонски Телеком Скопје,
TEL,Makedonski Telekom Skopje,
MAKP,Макпромет Штип,
MAKP,Makpromet [tip
MERM,Мермерен комбинат Прилеп,
MERM,Mermeren kombinat Prilep,
MZPU,МЗТ Пумпи Скопје,
MZPU,MZT Pumpi Skopje,
MZPU,MZT Pumpi-Inkom AD Skopje,
MODA,Мода Свети Николе,
MODA,Moda Sveti Nikole,
NEME,Огражден Струмица,
NEME,Ogra`den Strumica,
TNB,НЛБ Банка АД Скопје,
TNB,НЛБ Банка АД Скопје,
TNB,НЛБ Тутунска банка Скопје,
TNB,Tutunska banka Skopje,
NOSK,Нова Стоковна куќа Струмица,
NOSK,Нова стоковна куќа Струмица,
OILK,ОИЛКО КДА Скопје,
OILK,Оилко КДА Скопје,
OKTA,ОКТА Скопје,
OKTA,OKTA Skopje,
ORAN,Оранжерии Хамзали Струмица,
TRPS,Транскоп-Патнички сооб. Битола,
PKB,Пекабеско Скопје,
PKB,Пекабеско АД Кадино,
PKB,Илинден,
PKB,Pekabesko Skopje,
LOZP,Пелистерка АД Скопје,
LOZP,Lozar-Pelisterka Skopje,
POPK,Попова Кула Демир Капија,
PPIV,Прилепска пиварница Прилеп,
PPIV,Прилепска Пиварница Прилеп,
PPIV,Prilepska Pivarnica Prilep,
RADE,Раде Кончар Скопје,
RADE,Rade Kon~ar Skopje,
RZEK,РЖ Економика Скопје,
RZEK,R@ Ekonomika Skopje,
RZTK,РЖ Техничка Контрола Скопје,
RZTK,РЖ Техничка контрола Скопје,
RZTK,R@ Tehni~ka kontrola Skopje,
BANA,Рудници Бањани Скопје,
SSPR,Сигурносно стакло Прилеп,
SIL,Силекс Кратово,
SIL,Sileks Kratovo,
SLAV,Славеј Скопје,
SDOM,Современ дом Прилеп,
STOK,Стокопромет Скопје,
STB,Стопанска банка Скопје,
STB,Stopanska banka Skopje,
SPOL,Струмичко поле с. Василево,
TAJM,Тајмиште Кичево,
TEAL,ТЕАЛ-Алумина Тетово,
TEAL,TEAL-Alumina Tetovo,
TEHN,Технокомерц Скопје,
TSMP,Трготекстил Малопродажба Скопје,
TSMP,Трготекстил малопродажба Скопје,
TSMP,Trgotekstil maloproda`ba Skopje,
VROS,Триглав Осигурување Скопје,
VROS,Триглав осигурување Скопје,
TRDB,Трудбеник Охрид,
RZUG,РЖ Уготур Скопје,
RZUG,R@ Ugotur Skopje,
UNI,Универзална Инвестициона Банка Скопје,
UNI,Univerzalna Investiciona Banka Skopje,
KPSS,Карпош Скопје,
KPSS,Karpo{ Skopje,
FAKM,ФАКОМ Скопје,
FAKM,Факом Скопје,
FAKM,Fakom Skopje,
CEVI,ФЗЦ 11 Октомври Куманово,
CEVI,FZC 11 Oktomvri Kumanovo,
KONZ,Фруктал Мак Скопје,
KONZ,Фруктал МАК Скопје,
KONZ,Fruktal MAK Skopje,
FUBT,Фустеларко Борец Битола,
USJE,Цементарница УСЈЕ Скопје,
USJE,Cementarnica USJE Skopje,
CKB,Централна кооперативна банка Скопје,
VARG,Вардар Градско,
GTRG,Гетро Гостивар,
EUHA,Еурохаус Скопје,
INTP,Капитал Банка Скопје,
KONF,Конзервна фабрика Струмица,
OTEK,Отекс Охрид,
OTEK,Oteks Ohrid,
SNBT,СН Осигурителен брокер Битола,
CBNG,Црвени брегови Неготино,
INB,Шпаркасе банка Македонија АД Скопје,
INB,Инвестбанка Скопје,
INB,Investbanka Skopje,